horse_id,age_year,n_races,age_year_factor,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid
647,3,13,3,1.614427050299647,1.6730929183650087,5.126706404731272e-4,1.0052041770884963,0.0012831130276624238,1.6735219561473789
650,3,13,3,1.614427050299647,1.6730929183650087,5.126706404731272e-4,1.0052041770884963,0.0012831130276624238,1.6735219561473789
653,4,15,4,1.6747274323103287,1.872656333662168,3.602756470092992e-4,1.0050777741407624,0.0012007266463899104,1.8729937610761838
657,3,14,3,1.614427050299647,1.8355323075733156,5.126706404731272e-4,1.0051022899099964,0.0016250717581877349,1.836003000325682
657,4,17,4,1.6747274323103287,2.162590806239087,3.602756470092992e-4,1.0048686169585763,0.0017492262429491484,2.162980475934592
758,4,16,4,1.6747274323103287,2.020189335922169,3.602756470092992e-4,1.0049751058937086,0.0014621161545305837,2.020553346793352
791,5,16,5,1.7350278143210105,1.8994680285754588,5.77664257671458e-4,1.005059554963307,0.001996033566565762,1.9000168937761148
832,5,1,5,1.7350278143210105,-1.6865981981194158,5.77664257671458e-4,1.0051960330294232,4.0771243264544233e-4,-1.687085553023268
858,4,15,4,1.6747274323103287,1.872656333662168,3.602756470092992e-4,1.0050777741407624,0.0012007266463899104,1.8729937610761838
858,5,16,5,1.7350278143210105,1.8994680285754588,5.77664257671458e-4,1.005059554963307,0.001996033566565762,1.9000168937761148
890,4,16,4,1.6747274323103287,2.020189335922169,3.602756470092992e-4,1.0049751058937086,0.0014621161545305837,2.020553346793352
909,5,1,5,1.7350278143210105,-1.6865981981194158,5.77664257671458e-4,1.0051960330294232,4.0771243264544233e-4,-1.687085553023268
971,4,20,4,1.6747274323103287,2.563344172729549,3.602756470092992e-4,1.0045299396510596,0.002764879989872192,2.5638060527765654
993,4,14,4,1.6747274323103287,1.7194471418850237,3.602756470092992e-4,1.005176145801994,9.650577185271284e-4,1.7197569630690785
993,3,20,3,1.614427050299647,2.6952004616820595,5.126706404731272e-4,1.0044057227103595,0.004524156311022866,2.695891602512572
998,6,19,6,1.7953281963316923,2.1781187393919548,0.0011898270413294807,1.0048558614132024,0.005884729583878825,2.179415689153879
1026,4,15,4,1.6747274323103287,1.872656333662168,3.602756470092992e-4,1.0050777741407624,0.0012007266463899104,1.8729937610761838
1049,5,1,5,1.7350278143210105,-1.6865981981194158,5.77664257671458e-4,1.0051960330294232,4.0771243264544233e-4,-1.687085553023268
1050,4,14,4,1.6747274323103287,1.7194471418850237,3.602756470092992e-4,1.005176145801994,9.650577185271284e-4,1.7197569630690785
1055,3,14,3,1.614427050299647,1.8355323075733156,5.126706404731272e-4,1.0051022899099964,0.0016250717581877349,1.836003000325682
1056,4,16,4,1.6747274323103287,2.020189335922169,3.602756470092992e-4,1.0049751058937086,0.0014621161545305837,2.020553346793352
1060,7,20,7,1.855628578342374,2.1743145971494453,0.002220902567361725,1.0048579500068076,0.01094589163437522,2.1767330967703824
1063,4,18,4,1.6747274323103287,2.300325637184441,3.602756470092992e-4,1.0047587077015718,0.002062056911645605,2.3007401248387946
1066,4,16,4,1.6747274323103287,2.020189335922169,3.602756470092992e-4,1.0049751058937086,0.0014621161545305837,2.020553346793352
1071,3,19,3,1.614427050299647,2.563190301414698,5.126706404731272e-4,1.004529901570982,0.003940102674873765,2.5638475903617977
1082,5,1,5,1.7350278143210105,-1.6865981981194158,5.77664257671458e-4,1.0051960330294232,4.0771243264544233e-4,-1.687085553023268
1103,3,13,3,1.614427050299647,1.6730929183650087,5.126706404731272e-4,1.0052041770884963,0.0012831130276624238,1.6735219561473789
1108,3,13,3,1.614427050299647,1.6730929183650087,5.126706404731272e-4,1.0052041770884963,0.0012831130276624238,1.6735219561473789
1165,3,18,3,1.614427050299647,2.4272013274031012,5.126706404731272e-4,1.0046512887164178,0.003396398189661963,2.427823744163966
1182,3,15,3,1.614427050299647,1.9915582063993282,5.126706404731272e-4,1.0049955315950876,0.0020073796396503445,1.9920689094851853
1207,4,16,4,1.6747274323103287,2.020189335922169,3.602756470092992e-4,1.0049751058937086,0.0014621161545305837,2.020553346793352
1207,3,22,3,1.614427050299647,2.948480276125184,5.126706404731272e-4,1.004149962714243,0.005813311036132964,2.9492363664923986
1215,5,1,5,1.7350278143210105,-1.6865981981194158,5.77664257671458e-4,1.0051960330294232,4.0771243264544233e-4,-1.687085553023268
1224,3,15,3,1.614427050299647,1.9915582063993282,5.126706404731272e-4,1.0049955315950876,0.0020073796396503445,1.9920689094851853
1257,5,15,5,1.7350278143210105,1.7546290450526167,5.77664257671458e-4,1.00515417977555,0.001628316133422462,1.7551360579680233
1324,5,1,5,1.7350278143210105,-1.6865981981194158,5.77664257671458e-4,1.0051960330294232,4.0771243264544233e-4,-1.687085553023268
1331,5,1,5,1.7350278143210105,-1.6865981981194158,5.77664257671458e-4,1.0051960330294232,4.0771243264544233e-4,-1.687085553023268
1354,4,16,4,1.6747274323103287,2.020189335922169,3.602756470092992e-4,1.0049751058937086,0.0014621161545305837,2.020553346793352
1354,5,20,5,1.7350278143210105,2.432545410460218,5.77664257671458e-4,1.0046465747805262,0.003840945238494122,2.433248312275216
1379,5,1,5,1.7350278143210105,-1.6865981981194158,5.77664257671458e-4,1.0051960330294232,4.0771243264544233e-4,-1.687085553023268
1413,3,17,3,1.614427050299647,2.2868811238948488,5.126706404731272e-4,1.0047695928570775,0.0028930428553874585,2.2874675577953036
1416,5,1,5,1.7350278143210105,-1.6865981981194158,5.77664257671458e-4,1.0051960330294232,4.0771243264544233e-4,-1.687085553023268
1441,5,1,5,1.7350278143210105,-1.6865981981194158,5.77664257671458e-4,1.0051960330294232,4.0771243264544233e-4,-1.687085553023268
1452,4,15,4,1.6747274323103287,1.872656333662168,3.602756470092992e-4,1.0050777741407624,0.0012007266463899104,1.8729937610761838
1477,3,14,3,1.614427050299647,1.8355323075733156,5.126706404731272e-4,1.0051022899099964,0.0016250717581877349,1.836003000325682
1485,3,14,3,1.614427050299647,1.8355323075733156,5.126706404731272e-4,1.0051022899099964,0.0016250717581877349,1.836003000325682
